0	00	0.0
0	30	0.0
1	00	0.0
1	30	0.0
2	00	0.0
2	30	0.0
3	00	0.0
3	30	0.0
4	00	0.0
4	30	0.0
5	00	0.0
5	30	0.0
6	00	0.4
6	30	8.7
7	00	24.4
7	30	39.3
8	00	123.6
8	30	279.0
9	00	397.1
9	30	551.5
10	00	731.0
10	30	933.8
11	00	1168.9
11	30	1379.4
12	00	1507.1
12	30	1568.8
13	00	1551.8
13	30	1468.4
14	00	1308.6
14	30	1194.4
15	00	1106.2
15	30	992.0
16	00	888.2
16	30	783.5
17	00	670.9
17	30	549.7
18	00	481.2
18	30	246.7
19	00	107.8
19	30	107.6
20	00	114.0
20	30	78.9
21	00	32.7
21	30	21.4
22	00	2.0
22	30	0.0
23	00	0.0
23	30	0.0
