0	00	0.0
0	30	0.0
1	00	0.0
1	30	0.0
2	00	0.0
2	30	0.0
3	00	0.0
3	30	0.0
4	00	0.0
4	30	0.0
5	00	0.0
5	30	0.0
6	00	0.3
6	30	4.6
7	00	13.0
7	30	22.6
8	00	39.5
8	30	64.9
9	00	90.8
9	30	117.6
10	00	143.9
10	30	169.3
11	00	194.0
11	30	217.1
12	00	235.5
12	30	253.8
13	00	266.4
13	30	272.9
14	00	275.1
14	30	277.8
15	00	272.4
15	30	257.3
16	00	247.7
16	30	234.9
17	00	217.5
17	30	195.6
18	00	168.5
18	30	98.9
19	00	42.8
19	30	35.7
20	00	38.9
20	30	25.5
21	00	11.3
21	30	4.6
22	00	0.1
22	30	0.0
23	00	0.0
23	30	0.0
